,formula,Eform
414,AlGa(CuS2)2,-0.8295413326562511
415,AlGa(CuSe2)2,-0.6638856482812491
416,AlGaBr4,-0.980390181666666
417,AlGaCl4,-1.398451875416666
418,AlGaCu2(SeS)2,-0.736743179843749
419,AlHg2SbCl4,-1.074482824531251
421,AlI3,-0.9552141906250001
422,AlICl6,-1.32499238
423,AlIn(AgS2)2,-0.7298142995312501
424,AlIn(AgSe2)2,-0.6360703095312481
425,AlIn(CuS2)2,-0.7876838114062531
426,AlIn(CuSe2)2,-0.6510536007812491
427,AlIn3(CuSe2)4,-0.60010793765625
429,AlInBr4,-1.380429771527776
430,AlInCl4,-1.491166371666666
431,AlInI4,-0.8898664715277751
432,AlInS3,-1.002490066354166
433,AlInSe3,-0.8639210584375001
434,AlPd5I2,-0.524211835
435,AlSBr3,-0.8531906474999991
436,AlSCl7,-0.9023574200347211
437,AlSb2(SeCl2)2,-1.3013409741319442
438,AlSb2(TeCl2)2,-1.230065133148147
439,AlSb2Te2BrCl4,-1.236893261083333
440,AlSb5Se5Cl4,-0.959989346781249
441,AlSbI6,-0.7967515743749981
442,AlSeBr7,-1.02974525359375
443,AlSeCl7,-0.9633391423958331
446,AlTeCl7,-1.124001829722222
447,AlTeI7,-0.680516245185186
448,AlZnCrS4,-1.177997197857142
449,AlZnCu3Se4,-0.515781364374999
450,AlZnGaS4,-1.028982239107138
451,Au2S,-0.118341825937501
452,Au3Br,0.170988886249999
454,Au3Cl,0.280503911875001
455,Au3S,0.315489558046877
456,AuBr,-0.40299109374999903
458,AuBr2,-0.337731516666666
459,AuBr3,-0.556991212499999
463,AuCl,-0.264202023750002
464,AuCl2,-0.31720318750000104
465,AuCl3,-0.323221143125
467,AuI,-0.265866406249999
468,AuI2,-0.20558824833333403
469,AuS,0.05658852601562701
470,AuS2,0.5640863996354091
471,AuSCl5,-0.298684163973214
472,AuSCl7,-0.28595768864583304
474,AuSe,-0.14021907453124502
476,AuSeBr,-0.490861640364582
477,AuSeCl7,-0.356808604340276
478,Ba(AgS)2,-1.063721045666665
479,Ba(AgTe)2,-0.952725886833328
