,formula,Eform
93953,Ag1Br12I3,-0.3409241546109363
80847,Ag1Br13Mo6,-0.8553895441952925
94895,Ag1Br16Rb3,-0.8577553878076685
94741,Ag1Br18Mn1,-0.45797199923890697
94825,Ag1Br18Os1,-0.3707159050492521
94826,Ag1Br18Pd1,-0.384829847549252
54675,Ag1Br1Cd1S1,-0.6221085641072981
44506,Ag1Br1Cl1,-0.5293876235116528
40061,Ag1Br1Cl1Cs1,-1.3417857938837394
40299,Ag1Br1Cl2,-0.50663907403852
40691,Ag1Br1Cl2Cs1,-1.2394088252308164
69063,Ag1Br1Cl2Cs2I1,-1.3691369240831996
69141,Ag1Br1Cl3Cs2,-1.4881820416818863
68795,Ag1Br1Cl3Fe1,-0.874928348628868
68751,Ag1Br1Cl3Ga1,-1.1113440744622007
69137,Ag1Br1Cl3K2,-1.4523550545390294
69143,Ag1Br1Cl3Rb2,-1.4631201973961718
60747,Ag1Br1Cl6,-0.11316860857882172
60727,Ag1Br1Co1S1,-0.17506537535729816
84218,Ag1Br1Cs1I2,-0.9327802259544941
60517,Ag1Br1Cs2S4,-0.713027670746158
65091,Ag1Br1Cs2Se4,-0.6213480093644792
57800,Ag1Br1Cu1S1,-0.2629359166072982
60187,Ag1Br1Cu1Se1,-0.21996830872895856
68753,Ag1Br1Ga1I3,-0.6583065845334645
7612,Ag1Br1Hg1S1,-0.430869717848865
54671,Ag1Br1Hg1Se1,-0.37652336497052596
39750,Ag1Br1I1,-0.4104964524480508
60740,Ag1Br1I6,0.2803581275642828
60199,Ag1Br1Mg1S1,-0.9716331545239658
60200,Ag1Br1Mn1S1,-0.5135158575555732
42534,Ag1Br1Mo1,1.0111849361391654
60203,Ag1Br1Ni1S1,-0.1857048459822983
57799,Ag1Br1Pb1S1,-0.5407635378572979
60197,Ag1Br1Pd1S1,-0.250123627232298
60198,Ag1Br1Pt1S1,-0.12153231410729814
59874,Ag1Br1Rb2S4,-0.7371860207461576
59868,Ag1Br1Rb2Se4,-0.5727347312394793
60196,Ag1Br1S1Sn1,-0.4791429883200986
60201,Ag1Br1S1Zn1,-0.6312907978572984
60738,Ag1Br1S6,0.6177994851255026
94037,Ag1Br1Se2,-0.26832641935395873
57517,Ag1Br1Te1,-0.1422732544163884
93915,Ag1Br1Te2,-0.28896877477062377
43336,Ag1Br1Ti1,0.05942215043263369
95627,Ag1Br2,-0.4672574549438903
91681,Ag1Br28,-0.324095689832531
40297,Ag1Br2Cl1,-0.4093151544876983
40692,Ag1Br2Cl1Cs1,-1.1912912815901588
69120,Ag1Br2Cl2Cs2,-1.4446564205099879
69055,Ag1Br2Cl2Fe1,-0.8155598972616526
69124,Ag1Br2Cl2K2,-1.4070431505099878
69117,Ag1Br2Cl2Rb2,-1.4183967719385595
40581,Ag1Br2Cl4Cs2Cu1,-1.2623508434808162
40697,Ag1Br2Cl4Cs2Sn1,-1.4809115231659367
40587,Ag1Br2Cl4Cu1Rb2,-1.2361542574808166
623,Ag1Br2Cs1,-1.26085244058292
72467,Ag1Br2Cs1I1,-1.0117653609519979
70322,Ag1Br2Fe2I6,-0.3774336188092342
69047,Ag1Br2Ga1I2,-0.7483089103647176
70378,Ag1Br2Ga2I6,-0.6222519788092339
58494,Ag1Br2In1,-0.6314757080829176
30477,Ag1Br2K1,-1.17756960058292
45074,Ag1Br2Li1,-1.1286007630829178
30482,Ag1Br2Rb1,-1.21217099433292
57099,Ag1Br2S1Sb1,-0.565049305269006
33343,Ag1Br2S6,-0.263581120712424
83494,Ag1Br2Se6,-0.14049362359240744
83495,Ag1Br2Te6,-0.14380238248129493
39647,Ag1Br3,-0.4239034274368769
92673,Ag1Br37,-0.31182595478647157
69128,Ag1Br3Cl1Cs2,-1.3989583050523755
68787,Ag1Br3Cl1Fe1,-0.754862909227772
69138,Ag1Br3Cl1K2,-1.3584490821952326
69131,Ag1Br3Cl1Rb2,-1.3711101150523761
33844,Ag1Br3Cs1,-1.1268587139495
9138,Ag1Br3Cs2,-1.51038387079125
61195,Ag1Br3Cu1,-0.45839984544950135
61139,Ag1Br3Ga1,-0.8159284209495012
68747,Ag1Br3Ga1I1,-0.8384745578626376
70054,Ag1Br3In1,-0.7027835739495014
34427,Ag1Br3K1,-1.0662434579495
84234,Ag1Br3Rb1,-1.0876021469495014
9136,Ag1Br3Rb2,-1.47576777370792
62930,Ag1Br3Zn1,-0.4946092639495017
46634,Ag1Br4Ca1,-1.3132423595272238
40582,Ag1Br4Cl2Cs2Cu1,-1.201208494840159
40696,Ag1Br4Cl2Cs2Sn1,-1.4068470605252792
40585,Ag1Br4Cl2Cu1Rb2,-1.163913205840159
69132,Ag1Br4Cs2,-1.3528270953090493
50225,Ag1Br4Cs2Li1,-1.551122854645418
46682,Ag1Br4Cu1,-0.4206422978605575
74869,Ag1Br4Fe1,-0.6872843861938905
74911,Ag1Br4Ga1,-0.9111152595272243
70468,Ag1Br4Ga2I4,-0.7293832206251468
93394,Ag1Br4In1,-0.9048121911938903
53704,Ag1Br4K2,-1.3097922795947632
46642,Ag1Br4Mg1,-1.0543487793883355
68936,Ag1Br4Sn1,-0.7592413990024243
95141,Ag1Br5,-0.34443389159652976
78307,Ag1Br5Cs2Pd1,-1.200661321619909
60829,Ag1Br5Cs3,-1.42976729273102
7602,Ag1Br5Pb2,-0.969279875572397
37762,Ag1Br6,-0.07421226885643074
45277,Ag1Br6Ca1Cs2,-1.5893007461995015
44402,Ag1Br6Ca1Rb2,-1.5433733361995015
45278,Ag1Br6Cd1Cs2,-1.2602765481995015
45381,Ag1Br6Cd1K2,-1.1851407151995015
44408,Ag1Br6Cd1Rb2,-1.2202295801995013
70340,Ag1Br6Cl2Ga2,-0.976888591203024
82079,Ag1Br6Co1,-0.38769604524937673
31271,Ag1Br6Co1Cs2,-1.0941427681995
31333,Ag1Br6Co1K2,-1.0524873341995
34879,Ag1Br6Co1Rb2,-1.0757378831995
44064,Ag1Br6Cr1Cs2,-1.3103285991995013
44722,Ag1Br6Cr1In2,-0.7933005961995011
50339,Ag1Br6Cr1K2,-1.2662062441995012
50387,Ag1Br6Cr1Rb2,-1.2810231301995014
34287,Ag1Br6Cs2Cu1,-1.1359825981995
33580,Ag1Br6Cs2Fe1,-1.1879273781995
34767,Ag1Br6Cs2Ga1,-1.3084077476995
34768,Ag1Br6Cs2Hf1,-1.4796350956995
52324,Ag1Br6Cs2Hg1,-1.1525580006961285
50562,Ag1Br6Cs2In1,-1.3590481131995016
44062,Ag1Br6Cs2Ir1,-1.0733518851995014
44512,Ag1Br6Cs2K1,-1.2743824536995016
34769,Ag1Br6Cs2Mg1,-1.41312138911617
43537,Ag1Br6Cs2Mn1,-1.302682623578812
44063,Ag1Br6Cs2Mo1,-1.2126474651995014
52577,Ag1Br6Cs2Na1,-1.2733961132846665
